"x2","n","welfare","sPr","P","dChisq","dDev","dBhat"
228,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
229,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
230,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
231,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
232,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
233,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
234,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
235,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
236,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
237,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
238,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
239,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
240,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
241,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
242,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
243,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
244,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
245,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
246,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
247,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
248,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
249,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
250,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
251,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
252,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
253,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
254,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
255,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
256,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
257,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
258,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
259,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
260,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
261,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
262,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
263,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
264,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
265,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
266,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
267,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
268,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
269,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
270,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
271,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
272,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
273,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
274,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
275,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
276,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
277,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
